Time,Pleth
02:00.6,-110
02:00.6,-98
02:00.7,-86
02:00.7,-77
02:00.7,-74
02:00.7,-75
02:00.8,-77
02:00.8,-80
02:00.8,-82
02:00.8,-80
02:00.8,-75
02:00.9,-69
02:00.9,-62
02:00.9,-54
02:00.9,-48
02:00.9,-43
02:00.9,-40
02:01.0,-38
02:01.0,-35
02:01.0,-34
02:01.0,-34
02:01.0,-36
02:01.0,-37
02:01.1,-37
02:01.1,-37
02:01.1,-54
02:01.1,-96
02:01.2,-142
02:01.2,-179
02:01.2,-203
02:01.2,-212
02:01.2,-208
02:01.3,-195
02:01.3,-179
02:01.3,-161
02:01.3,-146
02:01.3,-133
02:01.4,-123
02:01.4,-113
02:01.4,-101
02:01.4,-91
02:01.5,-83
02:01.5,-82
02:01.5,-83
02:01.5,-86
02:01.5,-88
02:01.5,-89
02:01.6,-88
02:01.6,-82
02:01.6,-75
02:01.6,-70
02:01.6,-63
02:01.7,-57
02:01.7,-52
02:01.7,-47
02:01.7,-45
02:01.7,-43
02:01.7,-41
02:01.8,-40
02:01.8,-39
02:01.8,-38
02:01.8,-38
02:01.9,-40
02:01.9,-53
02:01.9,-94
02:01.9,-141
02:01.9,-176
02:01.9,-198
02:02.0,-206
02:02.0,-205
02:02.0,-196
02:02.0,-184
02:02.1,-170
02:02.1,-156
02:02.1,-144
02:02.1,-134
02:02.2,-125
02:02.2,-114
02:02.2,-104
02:02.2,-99
02:02.2,-98
02:02.2,-100
02:02.3,-100
02:02.3,-98
02:02.3,-95
02:02.3,-92
02:02.4,-86
02:02.4,-80
02:02.4,-74
02:02.4,-69
02:02.4,-64
02:02.4,-61
02:02.5,-59
02:02.5,-58
02:02.5,-57
02:02.5,-58
02:02.5,-58
02:02.6,-56
02:02.6,-54
02:02.6,-54
02:02.6,-52
02:02.6,-52
02:02.6,-59
02:02.7,-87
02:02.7,-131
02:02.7,-170
02:02.7,-198
02:02.8,-216
02:02.8,-218
02:02.8,-211
02:02.8,-195
02:02.9,-176
02:02.9,-156
02:02.9,-140
02:02.9,-126
02:02.9,-114
02:02.9,-105
02:03.0,-97
02:03.0,-93
02:03.0,-91
02:03.0,-92
02:03.0,-93
02:03.1,-93
02:03.1,-91
02:03.1,-87
02:03.1,-81
02:03.1,-73
02:03.2,-65
02:03.2,-59
02:03.2,-54
02:03.2,-49
02:03.2,-44
02:03.3,-42
02:03.3,-42
02:03.3,-43
02:03.3,-44
02:03.3,-45
02:03.3,-46
02:03.4,-45
02:03.4,-44
02:03.4,-45
02:03.4,-43
02:03.5,-50
02:03.5,-79
02:03.5,-126
02:03.5,-165
02:03.6,-194
02:03.6,-206
02:03.6,-206
02:03.6,-197
02:03.6,-181
02:03.6,-164
02:03.7,-149
02:03.7,-133
02:03.7,-123
02:03.7,-111
02:03.8,-100
02:03.8,-89
02:03.8,-82
02:03.8,-81
02:03.8,-84
02:03.8,-89
02:03.9,-93
02:03.9,-93
02:03.9,-89
02:03.9,-82
02:04.0,-76
02:04.0,-69
02:04.0,-62
02:04.0,-55
02:04.0,-52
02:04.0,-47
02:04.1,-44
02:04.1,-42
02:04.1,-42
02:04.1,-42
02:04.1,-42
02:04.1,-43
02:04.2,-43
02:04.2,-42
02:04.2,-42
02:04.2,-47
02:04.3,-88
02:04.3,-146
